station_id,station_name,operator,latitude,longitude,address,town,postcode,status,total_ports,max_power_kw,district,state,source
OSM_17,JomCharge,JomCharge,3.0271607999999994,101.7541855,,,,Operational,1.0,22.0,Hulu Langat,Selangor,OSM
OSM_18,Tesla Supercharger,"Tesla, Inc.",3.0493739,101.6721036,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_20,Tesla Destination Charger,Unknown,2.9701078,101.7161964,,,,Operational,1.0,22.0,Sepang,Selangor,OSM
OSM_21,Shell Recharge,Shell Recharge Solutions,2.9705213,101.7135594,,,,Operational,1.0,22.0,Sepang,Selangor,OSM
OSM_22,DC Handal,DC Handal,2.9696481,101.7134794,,,,Operational,1.0,22.0,Sepang,Selangor,OSM
OSM_23,Tesla Supercharger,"Tesla, Inc.",2.9698847,101.71547,,,,Operational,1.0,22.0,Sepang,Selangor,OSM
OSM_24,EVGuru,EVGuru,3.1672296,101.6919158,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_25,Gentari,Gentari,3.1663888999999994,101.69174859999998,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_26,EVGuru,EVGuru,3.0260201,101.7509655,,,,Operational,1.0,22.0,Hulu Langat,Selangor,OSM
OSM_27,Tesla Supercharger,"Tesla, Inc.",2.9152446000000003,101.6581696,,,,Operational,1.0,22.0,Sepang,Selangor,OSM
OSM_28,Shell Recharge,Shell Recharge Solutions,3.1277517,101.7246183,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_29,Gentari,Gentari,3.1281132999999994,101.7220326,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_30,Gentari,Gentari,3.0274973,101.7528222,,,,Operational,1.0,22.0,Hulu Langat,Selangor,OSM
OSM_31,Oyika Battery Swapping Station,Oyika,3.1577198,101.64986659999998,,,,Operational,8.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_34,Unknown,Unknown,3.1398375,101.6960665,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_35,Gentari,Gentari,2.765871,101.6853896,,,,Operational,1.0,22.0,Sepang,Selangor,OSM
OSM_36,Unknown,Unknown,3.1411667000000003,101.64274989999998,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_37,GoEV,Unknown,3.1347819,101.6873764,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_38,Unknown,Unknown,3.1445924999999995,101.72218,,,,Operational,3.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_40,Unknown,Unknown,3.1494857,101.71637099999998,,,,Operational,2.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_41,Unknown,Auto Bavaria,3.1502256,101.7143777,,,,Operational,2.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_43,AEON Mall Rawang Rear Entrance,Yinson GreenTech Business,3.316819,101.53599459999998,,,,Operational,4.0,22.0,Gombak,Selangor,OSM
