series,model,variant,h,origin,origin_month,converged,MASE,MAE,RMSE,MAPE
full_2020_2026,ARIMA,tuned,6,56,2024-09,True,1.1691801479347121,362.10332467129246,450.32596286041166,24.859463520563498
full_2020_2026,ARIMA,tuned,6,57,2024-10,True,1.668824788406325,509.9533785035835,654.5465048849825,30.22993063781394
full_2020_2026,ARIMA,tuned,6,58,2024-11,True,2.7356847863624107,827.0206462058205,1011.0062645793963,42.33097700033033
full_2020_2026,ARIMA,tuned,6,59,2024-12,True,2.854958873160574,860.0635780780682,979.8742664714883,43.84373030032572
full_2020_2026,ARIMA,tuned,6,60,2025-01,True,3.396904170311139,1014.8175596931419,1080.2083871308275,51.40336003173209
full_2020_2026,ARIMA,tuned,6,61,2025-02,True,2.9099945389375463,893.9429870553085,958.1822760952335,42.57807780789511
full_2020_2026,ARIMA,tuned,6,62,2025-03,True,1.4535425347940332,450.67734863182517,677.5057576356353,19.965398345478715
full_2020_2026,ARIMA,tuned,6,63,2025-04,True,1.5162065257721724,484.863861075603,600.0672015111173,21.061648530040056
full_2020_2026,ARIMA,tuned,6,64,2025-05,True,2.943609583620953,983.6795584800102,1131.444738827894,40.34828093848461
full_2020_2026,ARIMA,tuned,6,65,2025-06,True,3.0671236717516677,1055.0857055070464,1125.7078070164819,39.67693407257376
full_2020_2026,ARIMA,tuned,6,66,2025-07,True,2.7981402163569524,974.3044390041408,1080.8067694845531,31.340421161360794
full_2020_2026,ARIMA,tuned,6,67,2025-08,True,2.625639759215709,948.2388721588478,1100.6223495178679,28.595728290573604
full_2020_2026,ARIMA,tuned,6,68,2025-09,True,2.510264484163296,947.2696915490642,1235.1186251125782,24.733364814753227
full_2020_2026,SARIMA,base,6,36,2023-01,True,8.411906034969986,752.3472837831638,883.2282358559345,157.450236179062
full_2020_2026,SARIMA,base,6,37,2023-02,True,3.798223263986472,368.51887583868523,424.6577434306636,68.53412332097598
full_2020_2026,SARIMA,base,6,38,2023-03,True,3.7599368678960072,424.1274854102409,649.7422653557016,76.77923452201077
full_2020_2026,SARIMA,base,6,39,2023-04,True,3.7685540126334818,447.25508759222424,613.3623490567503,69.54843672577589
full_2020_2026,SARIMA,base,6,40,2023-05,True,4.881084136468507,661.6005375466033,839.2743117298969,95.55395914498997
full_2020_2026,SARIMA,base,6,41,2023-06,True,6.520266370975897,956.1891515126448,1164.4625550477117,135.22900625369644
full_2020_2026,SARIMA,base,6,42,2023-07,True,3.8652495962500812,611.1884197786502,755.5485067912757,78.87476377269277
full_2020_2026,SARIMA,base,6,43,2023-08,True,5.065149557215701,872.1376657335586,1009.9566466631554,119.46654930743317
full_2020_2026,SARIMA,base,6,44,2023-09,True,4.587508940471313,803.4178628695599,1249.2256447461368,72.21882638203724
full_2020_2026,SARIMA,base,6,45,2023-10,True,7.195365320149593,1365.1687149911288,1864.461945839793,127.68793282529735
full_2020_2026,SARIMA,base,6,46,2023-11,True,8.302760960220613,1703.3099441063998,2038.662267613516,149.14115634652447
full_2020_2026,SARIMA,base,6,47,2023-12,True,9.094885662322769,2161.5476209359326,2509.3049962371933,197.40804025714692
full_2020_2026,SARIMA,base,6,48,2024-01,True,9.46140324049073,2357.666468523103,2549.9179047172393,208.87105037183588
full_2020_2026,SARIMA,base,6,49,2024-02,True,6.955854602847668,1750.8685047546644,2000.2172140760315,149.33276537240025
full_2020_2026,SARIMA,base,6,50,2024-03,True,2.201007582090986,588.0061080579558,643.0304062131877,52.04835223456571
full_2020_2026,SARIMA,base,6,51,2024-04,True,2.4690245978520236,679.622465563185,787.2650421726439,63.45822110405247
full_2020_2026,SARIMA,base,6,52,2024-05,True,2.66756074806037,773.7193298247336,900.1019269383845,72.38567368987411
full_2020_2026,SARIMA,base,6,53,2024-06,True,3.8301953254789662,1144.3234938668131,1474.3319512858604,91.27223283624988
full_2020_2026,SARIMA,base,6,54,2024-07,True,3.6921959749335556,1129.1576324702123,1372.1559822979334,91.75518270961793
full_2020_2026,SARIMA,base,6,55,2024-08,True,2.542220993066038,782.7999457400691,1052.6872451772638,61.93756182863783
full_2020_2026,SARIMA,base,6,56,2024-09,True,2.720412607465622,842.5309404894278,1022.5885362388143,61.99783876325288
full_2020_2026,SARIMA,base,6,57,2024-10,True,1.6262212115336974,496.93473321890923,635.2340676559392,33.892425362138525
full_2020_2026,SARIMA,base,6,58,2024-11,True,1.383421457717307,418.2200060620573,495.2644655698282,25.816376108337252
full_2020_2026,SARIMA,base,6,59,2024-12,True,1.424785318474852,429.22017914885026,495.30493613161065,23.186978339171027
full_2020_2026,SARIMA,base,6,60,2025-01,True,1.4561043784336802,435.00794190647383,479.51810736100015,23.307008985750713
full_2020_2026,SARIMA,base,6,61,2025-02,True,0.9214700846736525,283.0732872357985,318.6895749563615,13.858983159982882
full_2020_2026,SARIMA,base,6,62,2025-03,True,1.5259209308462507,473.1185932808232,531.3487523585524,21.99681200284917
full_2020_2026,SARIMA,base,6,63,2025-04,True,1.618150989158352,517.4644239227588,546.4601368679695,23.281924905093575
full_2020_2026,SARIMA,base,6,64,2025-05,True,1.9199145306426182,641.5866724753395,699.4349953065752,28.516026728137195
full_2020_2026,SARIMA,base,6,65,2025-06,True,2.6852746574146433,923.7302468408301,993.1624214544136,38.97223746228769
full_2020_2026,SARIMA,base,6,66,2025-07,True,1.4872542528542387,517.857687049812,674.6008991531463,14.507824980303297
full_2020_2026,SARIMA,base,6,67,2025-08,True,1.978313643056641,714.4597392251688,828.7977873567822,23.118088134707214
full_2020_2026,SARIMA,base,6,68,2025-09,True,3.1751711601912604,1198.1778910170813,1446.445428637231,36.31066152394995
full_2020_2026,SARIMA,tuned,6,36,2023-01,True,9.573913351028663,856.2753405563311,988.4211823876271,174.70387854786378
full_2020_2026,SARIMA,tuned,6,37,2023-02,True,4.6008454868513935,446.39250746477524,511.31361892052695,82.17732516823372
full_2020_2026,SARIMA,tuned,6,38,2023-03,True,3.746044023908176,422.5603481968299,649.5722300233948,76.31649944706597
full_2020_2026,SARIMA,tuned,6,39,2023-04,True,3.704161119891448,439.6128861571095,593.2164654424764,68.43699474501159
full_2020_2026,SARIMA,tuned,6,40,2023-05,True,4.869970551760482,660.0941603952725,837.5646586620081,95.46953860246337
full_2020_2026,SARIMA,tuned,6,41,2023-06,True,6.746844812253014,989.4166049921869,1220.7349968992423,140.36522557463863
full_2020_2026,SARIMA,tuned,6,42,2023-07,True,4.186818869154369,662.0362139150019,805.5192808108236,86.31776575128424
full_2020_2026,SARIMA,tuned,6,43,2023-08,True,5.025638024241679,865.3344122958732,1003.1078287385777,118.42765773829294
full_2020_2026,SARIMA,tuned,6,44,2023-09,True,4.731515871167662,828.6380296310398,1273.258126077657,74.34207477254319
full_2020_2026,SARIMA,tuned,6,45,2023-10,True,7.064618508003898,1340.3622667311238,1798.2788752724414,124.23108587297742
full_2020_2026,SARIMA,tuned,6,46,2023-11,True,8.230376785291442,1688.4603434080898,2014.886735113603,147.28111305220168
full_2020_2026,SARIMA,tuned,6,47,2023-12,True,9.079363622718638,2157.858555561821,2520.1260694373623,196.55227363150237
