name,category,district,latitude,longitude
Car Park,transport,Hulu Langat,2.942777796631642,101.87683079695944
Car Park,transport,Hulu Langat,2.94352907834045,101.8753937885276
Staff Parking,transport,Hulu Langat,2.943039146856366,101.8772287607858
Bike Parking,transport,Hulu Langat,2.942623236537933,101.87548784587764
Bike Parking,transport,Hulu Langat,2.942868290390056,101.87642458750592
Car Park,transport,Hulu Langat,2.942384982878749,101.87528226699123
Car Park,transport,Hulu Langat,2.9416105479631502,101.87654645980946
Car Park,transport,Hulu Langat,2.941660152020485,101.8770156020828
Car Park,transport,Hulu Langat,2.941712871745556,101.87754598659508
Car Park,transport,Hulu Langat,2.9412398760176792,101.87788272734822
Car Park,transport,Hulu Langat,2.942799410655573,101.8750725805167
Car Park,transport,Hulu Langat,2.945792127406887,101.87311669582697
Car Park,transport,Hulu Langat,2.945846294546479,101.87303287162332
Car Park,transport,Hulu Langat,2.9465584339967643,101.87666097692076
Car Park,transport,Hulu Langat,2.942772075983436,101.87577142145642
Car Park,transport,Hulu Langat,2.94278261449372,101.87614539503916
Car Park,transport,Hulu Langat,2.942862304037124,101.87612832036028
Car Park,transport,Hulu Langat,2.9426998422641955,101.87579173604588
Car Park,transport,Hulu Langat,2.945191712707025,101.87626770095544
Car Park,transport,Hulu Langat,2.9449736499891355,101.876171085583
Car Park,transport,Hulu Langat,2.943532070325708,101.8760121372178
Komples Rawatan & Rawatan Harian (SCACC),healthcare,WP Kuala Lumpur,3.170745105972182,101.69907260477686
Taman Putra Prima,residential,Sepang,2.973004335362293,101.58993518921018
Enterprise Building 3,work,Sepang,2.9241135024255414,101.65884880244452
Taman Muhibbah,residential,Hulu Langat,2.9955730475467446,101.7781198581387
Almaspuri,residential,WP Kuala Lumpur,3.1697162500134537,101.6518438499996
A,residential,WP Kuala Lumpur,3.2229242235315443,101.7283339936284
A,residential,WP Kuala Lumpur,3.221898171057304,101.73111307136904
Universiti Teknologi MARA Kampus Sungai Buloh,education,Gombak,3.2222187179454047,101.59352365678004
Asrama Pelatih Kolej Sains Kesihatan Bersekutu Sungai Buloh,residential,Gombak,3.219054456043508,101.59212060051196
Encorp Strand Mall,shopping,Petaling,3.155651035874385,101.59378097354656
Universiti Putra Malaysia,education,Sepang,2.9907466724276808,101.71942781488424
Sultan Haji Ahmad Shah Mosque,community,Gombak,3.25133180259137,101.73493606814507
