scenario,cum_pop_share,cum_access_share
current,0.04277328764396364,0.00020861402085436249
current,0.04291887463691542,0.0002105960870838825
current,0.04321004862281898,0.00021472691200429196
current,0.043310039428880655,0.00021614982487492166
current,0.04346729453594461,0.00021844313642765145
current,0.043594086291460526,0.00022030925021645787
current,0.043657482169218484,0.0002212433957023296
current,0.04380306916217026,0.00022342486235741237
current,0.04384164283335619,0.00022400373089718974
current,0.04398722982630797,0.0002261912693902625
current,0.04406437716867982,0.000227362010976825
current,0.04438135655746961,0.0002321754883575668
current,0.04482512770177531,0.00023911225926280216
current,0.04497071469472709,0.00024142976570332888
current,0.04527930406421451,0.0002465487828907385
current,0.045317877735400434,0.00024718867160219407
current,0.04544466949091635,0.0002492931007842624
current,0.045571461246432264,0.00025141092532045983
current,0.045717048239384044,0.00025386950094025937
current,0.046217002269692414,0.00026233316598475454
current,0.04628039814745037,0.00026340727544903154
current,0.04642598514040215,0.0002658759274717192
current,0.046503132482774004,0.0002672320358973392
current,0.04664871947572578,0.00026979398944708156
current,0.049121158708286136,0.00031358156514974027
current,0.04915973237947206,0.0003142825142041802
current,0.04941331589050389,0.00031892892907828865
current,0.04954010764601981,0.00032129282794033016
current,0.049685694638971586,0.00032403186983388137
current,0.05012245561782692,0.0003322797023377327
current,0.051922290126937054,0.0003666742400430139
current,0.05199943746930891,0.0003681561042197287
current,0.052145024462260686,0.0003709549491488624
current,0.052290611455212466,0.0003737696999895597
current,0.05244786656227642,0.000376814942665999
current,0.05273904054817998,0.0003825870462934344
current,0.05293190890410961,0.00038645178971646394
current,0.05307749589706139,0.00038940164559416395
current,0.05320428765257731,0.00039199935040229455
current,0.05574456047433867,0.0004441205199060888
current,0.05763719138271178,0.00048307830330311457
current,0.05778277837566356,0.00048609210281524545
current,0.05790957013117948,0.0004887643109092438
current,0.05803636188669539,0.0004915727054416991
current,0.05807493555788132,0.000492428370908477
current,0.05815208290025317,0.0004941491697411581
current,0.058278874655769086,0.0004969828219308144
current,0.05847885626789243,0.0005014871617873803
current,0.05862444326084421,0.0005048200017652584
current,0.05872443406690589,0.0005071160295430749
current,0.058763007738091816,0.0005080171612271455
current,0.05880158140927774,0.0005089349944299146
current,0.05894716840222952,0.0005124031445443597
current,0.0590927553951813,0.0005159098157630049
current,0.05919274620124298,0.0005183342787400845
current,0.05926989354361483,0.0005202144068162134
current,0.05958440375774275,0.0005278800942298483
current,0.05974165886480671,0.0005317434269150826
current,0.05988724585775849,0.0005354322399548067
current,0.06017841984366205,0.0005428211521903107
current,0.060324006836613826,0.000546530870170149
current,0.06036258050779975,0.0005475286773568438
current,0.06048937226331567,0.0005508088885911447
current,0.060552768141073625,0.0005524642402797086
current,0.06075274975319697,0.0005577125306249059
current,0.06095273136532032,0.0005630005873508906
current,0.061152712977443666,0.0005682888390358876
current,0.06304534388581677,0.0006194081502756115
current,0.06317213564133269,0.0006229252894193413
current,0.06321070931251861,0.0006239979156725941
current,0.06346429282355044,0.000631237186699127
current,0.0636642744356738,0.0006369596850420768
current,0.06370284810685972,0.0006380888751922699
current,0.0638484350998115,0.0006423692787149171
current,0.06399402209276328,0.0006466859962741785
current,0.06403259576394921,0.0006478322313041018
current,0.06409599164170716,0.0006497197210780332
current,0.06417313898407902,0.0006520467415905095
current,0.06455351425062676,0.0006635557617350408
current,0.06459208792181269,0.0006647329691801652
current,0.0647188796773286,0.0006686256013274404
current,0.06479602701970046,0.0006709979839068046
current,0.06494161401265224,0.0006754891417839737
current,0.06508720100560401,0.000680009887764755
current,0.06518719181166568,0.0006831232629883699
current,0.06525058768942364,0.000685099255853228
current,0.06539617468237542,0.0006896397453664063
current,0.06543474835356135,0.0006908579885190147
current,0.06558033534651313,0.0006954643060165844
current,0.06565748268888498,0.0006979075572187877
current,0.06580306968183676,0.0007025223831377198
current,0.06594865667478854,0.0007071723084146677
current,0.06708978247443177,0.0007439288699653748
current,0.06740676186322156,0.0007541414986563107
current,0.06747015774097952,0.0007561874790233404
current,0.06767013935310287,0.0007626522135152219
current,0.06774728669547472,0.0007651629336013498
current,0.06806426608426451,0.0007755742703319886
current,0.06844464135081225,0.0007882915122500503
current,0.06859022834376403,0.0007932436609884671
current,0.0688814023296676,0.0008031874431769172
current,0.06902698932261937,0.0008082488025902809
current,0.0693269617408044,0.0008186852885628107
current,0.06939035761856235,0.0008209276168915587
current,0.0700193780468182,0.0008432762177043946
current,0.07025082007393375,0.000851607138393856
current,0.07039640706688553,0.000856892004011303
current,0.07045980294464349,0.0008592097422566203
current,0.07052319882240145,0.0008615439533866994
current,0.07077678233343328,0.0008710031795014296
