ds,policy_cap,policy_lo,policy_hi,accel_cap,actual
2029-06-01,5990.932642310323,5558.195140302363,6425.629803281335,10489.45143099028,
2029-07-01,5923.203604685086,5499.607933708376,6332.854509251937,10513.775856989645,
2029-08-01,5985.4834655667,5545.035308539119,6392.606143270825,10663.38897685128,
2029-09-01,5943.900178767663,5524.367238689368,6380.612957610321,10704.854434018494,
2029-10-01,6031.915082294673,5608.7365901483245,6428.370235767714,10872.926619370193,
2029-11-01,6162.317012191307,5724.335878656539,6603.555465358147,11077.137227322395,
2029-12-01,6654.229186886881,6230.70866790668,7073.489760992933,11639.916214726074,
2030-01-01,6133.444099082828,5696.524573866673,6558.811269420929,11182.099868493968,
2030-02-01,5869.859512429964,5483.12629037391,6317.349013090434,10973.677063458841,
2030-03-01,6096.842758651377,5662.298352802747,6513.113868384182,11243.554629806435,
2030-04-01,6145.052323727183,5692.354971462848,6541.216744291862,11406.541061425134,
2030-05-01,6341.591447266658,5916.5733184473265,6765.669417809068,11654.382447659389,
2030-06-01,6162.322211151346,5754.9830620013145,6603.851180311402,11540.935677555555,
2030-07-01,6071.500302469446,5637.54827610189,6484.53473904638,11488.398712689592,
2030-08-01,6117.551485521246,5685.478777252483,6532.100493258175,11588.217087174831,
2030-09-01,6020.068346740652,5557.81664528498,6408.664606249536,11541.650500921187,
2030-10-01,6112.815589387553,5677.821991517702,6513.254089902471,11661.381014512224,
2030-11-01,6217.215589603068,5810.204943412063,6636.604538566054,11813.019180349213,
2030-12-01,6864.4162613514245,6458.601246052088,7281.647868792739,12486.756294984634,
